GeoAreaName,Region,ISOalpha3,TimePeriod,court,Typeofoccupation,SDG1671C_Female,SDG1671C_Male,male,female,total,female_share,male_share,age_under_35,between_35_44,between_45_54,between_55_64,above_65,age_under_45_proportional,not_disabled,disabled,group_a,group_b,group_c,age_under_45_ratio,disability_proportional,group_a_proportional,group_b_proportional,group_c_proportional,Source,FootNote
Albania,Northern America and Europe,ALB,2016,supreme,Judges,0.181818187,1.818181872,10,1,11,0.090909094,0.909090936,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2016,total,Judges,0.931129456,1.068870544,194,169,363,0.465564728,0.534435272,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2016,high,Judges,0.791666687,1.208333373,58,38,96,0.395833343,0.604166687,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2016,low,Judges,1.015625,0.984375,126,130,256,0.5078125,0.4921875,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2018,total,Judges,0.953757226,1.046242833,181,165,346,0.476878613,0.523121417,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2018,supreme,Judges,0.25,1.75,7,1,8,0.125,0.875,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2018,high,Judges,0.831460655,1.168539286,52,37,89,0.415730327,0.584269643,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2018,low,Judges,1.020080328,0.979919672,122,127,249,0.510040164,0.489959836,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2020,low,Judges,1.12449801,0.87550199,109,140,249,0.562249005,0.437750995,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2020,high,Judges,0.92592591,1.07407403,29,25,54,0.462962955,0.537037015,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2020,total,Judges,1.074918509,0.925081432,142,165,307,0.537459254,0.462540716,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2020,supreme,Judges,0,2,4,0,4,0,1,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2022,low,Judges,1.134453773,0.865546227,103,135,238,0.567226887,0.432773113,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2022,total,Judges,1.106918216,0.893081784,142,176,318,0.553459108,0.446540892,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2022,supreme,Judges,0.375,1.625,13,3,16,0.1875,0.8125,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Albania,Northern America and Europe,ALB,2022,high,Judges,1.1875,0.8125,26,38,64,0.59375,0.40625,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2016,total,Judges,1.153846145,0.846153855,11,15,26,0.576923072,0.423076928,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2016,low,Judges,1.411764741,0.588235319,5,12,17,0.70588237,0.294117659,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2016,high,Judges,0.666666687,1.333333373,6,3,9,0.333333343,0.666666687,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2018,low,Judges,1.411764741,0.588235319,5,12,17,0.70588237,0.294117659,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2018,total,Judges,1.153846145,0.846153855,11,15,26,0.576923072,0.423076928,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2018,high,Judges,0.666666687,1.333333373,6,3,9,0.333333343,0.666666687,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2020,total,Judges,1.111111164,0.888888896,12,15,27,0.555555582,0.444444448,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2020,high,Judges,0.666666687,1.333333373,6,3,9,0.333333343,0.666666687,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2020,low,Judges,1.333333373,0.666666687,6,12,18,0.666666687,0.333333343,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2022,high,Judges,0.888888896,1.111111164,5,4,9,0.444444448,0.555555582,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2022,total,Judges,1.151515126,0.848484874,14,19,33,0.575757563,0.424242437,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Andorra,Northern America and Europe,AND,2022,low,Judges,1.25,0.75,9,15,24,0.625,0.375,,,,,,,,,,,,,,,,,Council of Europe CEPEJ-STAT,
Angola,Sub-Saharan Africa,AGO,2024,supreme,Judges,0.800000012,1.200000048,18,12,30,0.400000006,0.600000024,,,,,,,,,,,,,,,,,The National Gender Directorate within MASFAMU,
